figure,sweep_type,sweep_value,util_level,taskset_id,seed,num_tasks,cf,cp,actual_total_util_lo,actual_total_util_hi,deadline_mode,method,method_label,priority_policy,schedulable,details
fig1,util,0.025,0.025,19,2045,20,2.0,0.5,0.025436802819979273,0.03146338992303497,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,19,2045,20,2.0,0.5,0.025436802819979273,0.03146338992303497,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,19,2045,20,2.0,0.5,0.025436802819979273,0.03146338992303497,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,19,2045,20,2.0,0.5,0.025436802819979273,0.03146338992303497,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,19,2045,20,2.0,0.5,0.025436802819979273,0.03146338992303497,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,19,2045,20,2.0,0.5,0.025436802819979273,0.03146338992303497,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,20,2046,20,2.0,0.5,0.026641360752215473,0.03419588155712589,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,20,2046,20,2.0,0.5,0.026641360752215473,0.03419588155712589,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,20,2046,20,2.0,0.5,0.026641360752215473,0.03419588155712589,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,20,2046,20,2.0,0.5,0.026641360752215473,0.03419588155712589,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,20,2046,20,2.0,0.5,0.026641360752215473,0.03419588155712589,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,20,2046,20,2.0,0.5,0.026641360752215473,0.03419588155712589,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,21,2047,20,2.0,0.5,0.02651638684627304,0.027927293147900507,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,21,2047,20,2.0,0.5,0.02651638684627304,0.027927293147900507,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,21,2047,20,2.0,0.5,0.02651638684627304,0.027927293147900507,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,21,2047,20,2.0,0.5,0.02651638684627304,0.027927293147900507,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,21,2047,20,2.0,0.5,0.02651638684627304,0.027927293147900507,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,21,2047,20,2.0,0.5,0.02651638684627304,0.027927293147900507,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,22,2048,20,2.0,0.5,0.027568704422018312,0.028864122473926335,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
