method,method_label,sweep_value,util_level,util_sum,weighted_success_sum,taskset_count,success_count,schedulable_ratio,weighted_schedulability_at_util
amc_max,AMC-max,88.0,0.7,140.09707362059152,135.19782781678782,200,193,0.965,0.9650296349724495
amc_max,AMC-max,88.0,0.725,145.08708895836764,137.1045764774092,200,189,0.945,0.9449812347999552
amc_max,AMC-max,88.0,0.75,150.083001426769,132.8260123674541,200,177,0.885,0.8850170312742899
amc_max,AMC-max,88.0,0.775,155.1183069836774,133.40634161279598,200,172,0.86,0.8600296393567131
amc_max,AMC-max,88.0,0.8,160.08975262581927,116.86579697797204,200,146,0.73,0.7300017337844517
amc_max,AMC-max,88.0,0.825,165.06918576329778,103.99332759842505,200,126,0.63,0.6299984283411144
amc_max,AMC-max,88.0,0.85,170.0665053697136,93.53389430720857,200,110,0.55,0.5499842200195266
amc_max,AMC-max,88.0,0.875,175.09484430810082,74.41494041549072,200,85,0.425,0.42499789590919373
amc_max,AMC-max,88.0,0.9,180.09655677788123,36.91462990391473,200,41,0.205,0.2049713251844271
amc_max,AMC-max,88.0,0.925,185.0742730955156,3.7009463420631667,200,4,0.02,0.01999708700816095
amc_max,AMC-max,88.0,0.95,190.09994712530928,0.0,200,0,0.0,0.0
amc_max,AMC-max,88.0,0.975,195.07415500036274,0.0,200,0,0.0,0.0
amc_rtb,AMC-rtb,8.0,0.025,5.024665051583793,5.024665051583793,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.05,10.005838721274808,10.005838721274808,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.075,15.009759010999712,15.009759010999712,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.1,20.00367470925149,20.00367470925149,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.125,25.003683676282105,25.003683676282105,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.15,30.009808719248486,30.009808719248486,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.175,34.99845917233918,34.99845917233918,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.2,40.00273332950032,40.00273332950032,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.225,45.00375974680196,45.00375974680196,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.25,50.008963550275524,50.008963550275524,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.275,55.00154474616041,55.00154474616041,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.3,60.005270244893815,60.005270244893815,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.325,64.99995749209297,64.99995749209297,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.35,69.99902527296116,69.99902527296116,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.375,75.00775725714006,75.00775725714006,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.4,80.00143911366278,80.00143911366278,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.425,85.00040657009436,85.00040657009436,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.45,90.00234645289902,90.00234645289902,200,200,1.0,1.0
amc_rtb,AMC-rtb,8.0,0.475,95.00068445681188,94.52575297836653,200,199,0.995,0.9950007572981091
amc_rtb,AMC-rtb,8.0,0.5,99.99743245891499,96.99710149936924,200,194,0.97,0.9699959200374623
amc_rtb,AMC-rtb,8.0,0.525,104.99583801363,101.32095653500326,200,193,0.965,0.9649997414359445
amc_rtb,AMC-rtb,8.0,0.55,109.99981894944561,100.65128785580912,200,183,0.915,0.9150132138132614
amc_rtb,AMC-rtb,8.0,0.575,115.00528806673842,97.75598248053048,200,170,0.85,0.8500129352643503
amc_rtb,AMC-rtb,8.0,0.6,120.00466818941574,105.60423225851581,200,176,0.88,0.880001035391638
amc_rtb,AMC-rtb,8.0,0.625,124.98734261541127,96.86806454240595,200,155,0.775,0.7750229944520948
amc_rtb,AMC-rtb,8.0,0.65,129.9961177261602,95.54802940057213,200,147,0.735,0.7350067915246995
amc_rtb,AMC-rtb,8.0,0.675,135.00269360387634,101.92730241731667,200,151,0.755,0.7550019906742811
amc_rtb,AMC-rtb,8.0,0.7,140.0028971451819,94.50064727483347,200,135,0.675,0.6749906552064923
amc_rtb,AMC-rtb,8.0,0.725,144.9975116865508,92.0722847079659,200,127,0.635,0.634992170810515
amc_rtb,AMC-rtb,8.0,0.75,150.0063950339605,92.25380355627331,200,123,0.615,0.6149991374393581
amc_rtb,AMC-rtb,8.0,0.775,155.00190084898375,86.02812037365001,200,111,0.555,0.5550133250137754
amc_rtb,AMC-rtb,8.0,0.8,159.99428518820525,86.39807977595439,200,108,0.54,0.5400072863497729
amc_rtb,AMC-rtb,8.0,0.825,164.99677079888647,79.19864434084336,200,96,0.48,0.4800011779465556
amc_rtb,AMC-rtb,8.0,0.85,170.00155017353185,73.95030366831341,200,87,0.435,0.43499781968357015
amc_rtb,AMC-rtb,8.0,0.875,175.00089893790636,71.74705272276768,200,82,0.41,0.40998105243005006
amc_rtb,AMC-rtb,8.0,0.9,179.9945391952204,72.89685394561464,200,81,0.405,0.4049948085733389
amc_rtb,AMC-rtb,8.0,0.925,184.99475956404584,43.47387766074126,200,47,0.235,0.23500059008801516
amc_rtb,AMC-rtb,8.0,0.95,189.9997599666717,24.699500886651265,200,26,0.13,0.12999753731785693
amc_rtb,AMC-rtb,8.0,0.975,194.99422454044145,7.800007724853042,200,8,0.04,0.040001224360546817
amc_rtb,AMC-rtb,24.0,0.025,5.193363442615399,5.193363442615399,200,200,1.0,1.0
